UserID,Category,TotalInteractions,AverageRating
U029,Clothing,1,3.0
U029,Electronics,5,2.6
U029,Home,1,5.0
U029,Toys,4,2.75
U030,Books,1,5.0
U030,Clothing,2,3.5
U030,Electronics,4,3.0
U030,Toys,4,1.75
U031,Beauty,3,3.33
U031,Books,3,4.0
U031,Clothing,3,3.33
U031,Electronics,2,2.5
U031,Home,1,5.0
U031,Toys,3,3.67
U032,Beauty,2,1.5
U032,Books,4,4.25
U032,Clothing,3,2.0
U032,Electronics,6,2.83
U032,Home,1,5.0
U032,Toys,2,1.5
U033,Beauty,1,3.0
U033,Books,2,1.0
U033,Clothing,4,4.0
U033,Electronics,4,1.25
U033,Home,1,1.0
U033,Toys,2,3.0
U034,Beauty,2,3.0
U034,Clothing,2,3.5
U034,Electronics,3,3.0
U034,Home,2,3.0
U034,Toys,1,3.0
U035,Beauty,2,3.0
U035,Books,6,3.17
U035,Clothing,4,2.5
U035,Electronics,5,2.2
U035,Home,1,3.0
U035,Toys,2,3.5
U036,Beauty,3,1.33
U036,Books,4,2.0
U036,Clothing,2,3.0
U036,Electronics,4,4.5
U036,Home,1,4.0
U036,Toys,5,4.0
U037,Beauty,2,3.0
U037,Books,2,2.0
U037,Clothing,3,3.0
U037,Electronics,4,3.5
U037,Toys,4,2.5
U038,Beauty,3,2.33
U038,Clothing,3,1.67
U038,Electronics,2,3.5
U038,Home,1,3.0
U038,Toys,3,1.33
U039,Beauty,2,3.0
U039,Books,1,3.0
U039,Clothing,2,2.0
U039,Electronics,5,4.0
U039,Home,1,5.0
U039,Toys,2,4.0
U040,Beauty,1,4.0
U040,Books,3,1.67
U040,Clothing,4,3.25
U040,Electronics,5,2.8
U040,Home,1,2.0
U040,Toys,3,2.67
U041,Beauty,2,5.0
U041,Books,5,3.6
U041,Clothing,1,4.0
U041,Electronics,4,2.75
U041,Home,2,2.0
U041,Toys,1,5.0
U042,Beauty,3,2.0
U042,Books,2,2.5
U042,Clothing,1,1.0
U042,Electronics,3,4.33
U042,Toys,1,5.0
U043,Beauty,5,2.6
U043,Books,1,1.0
U043,Electronics,2,5.0
U043,Home,2,3.0
U043,Toys,1,2.0
U044,Beauty,3,3.33
U044,Books,1,2.0
U044,Clothing,6,2.33
U044,Electronics,4,2.0
U044,Home,2,5.0
U044,Toys,2,3.5
U045,Beauty,2,1.5
U045,Books,2,3.0
U045,Electronics,6,2.17
U045,Toys,1,1.0
U046,Books,4,2.75
U046,Clothing,4,3.75
U046,Electronics,6,3.17
U046,Home,1,3.0
U046,Toys,3,4.0
U047,Beauty,2,2.0
U047,Books,3,3.33
U047,Clothing,2,2.0
U047,Electronics,2,1.5
U047,Home,2,1.5
U047,Toys,3,1.33
U048,Beauty,4,2.25
U048,Books,1,3.0
U048,Clothing,2,3.0
U048,Electronics,2,2.5
U048,Toys,3,3.0
U049,Beauty,2,3.5
U049,Books,1,4.0
U049,Clothing,4,2.0
U049,Electronics,3,3.67
U049,Home,2,3.5
U049,Toys,1,5.0
