UserID,Rank,ProductID,ProductName,Category
U041,1,P0002,Books Item 2,Electronics
U041,2,P0023,Home Item 23,Clothing
U041,3,P0076,Home Item 76,Toys
U041,4,P0089,Clothing Item 89,Beauty
U041,5,P0003,Clothing Item 3,Electronics
U042,1,P0041,Books Item 41,Home
U042,2,P0076,Home Item 76,Toys
U042,3,P0060,Toys Item 60,Home
U042,4,P0038,Toys Item 38,Books
U042,5,P0000,Toys Item 0,Clothing
U043,1,P0069,Beauty Item 69,Toys
U043,2,P0029,Books Item 29,Electronics
U043,3,P0051,Home Item 51,Clothing
U043,4,P0017,Beauty Item 17,Toys
U043,5,P0023,Home Item 23,Clothing
U044,1,P0005,Home Item 5,Toys
U044,2,P0077,Home Item 77,Electronics
U044,3,P0071,Beauty Item 71,Toys
U044,4,P0029,Books Item 29,Electronics
U044,5,P0083,Beauty Item 83,Beauty
U045,1,P0040,Electronics Item 40,Home
U045,2,P0008,Books Item 8,Electronics
U045,3,P0041,Books Item 41,Home
U045,4,P0016,Beauty Item 16,Electronics
U045,5,P0060,Toys Item 60,Home
U046,1,P0041,Books Item 41,Home
U046,2,P0070,Beauty Item 70,Toys
U046,3,P0099,Clothing Item 99,Beauty
U046,4,P0065,Toys Item 65,Clothing
U046,5,P0006,Books Item 6,Books
U047,1,P0072,Home Item 72,Beauty
U047,2,P0069,Beauty Item 69,Toys
U047,3,P0073,Toys Item 73,Beauty
U047,4,P0029,Books Item 29,Electronics
U047,5,P0093,Electronics Item 93,Clothing
U048,1,P0092,Home Item 92,Beauty
U048,2,P0016,Beauty Item 16,Electronics
U048,3,P0051,Home Item 51,Clothing
U048,4,P0060,Toys Item 60,Home
U048,5,P0079,Home Item 79,Electronics
U049,1,P0030,Books Item 30,Books
U049,2,P0073,Toys Item 73,Beauty
U049,3,P0051,Home Item 51,Clothing
U049,4,P0064,Electronics Item 64,Electronics
U049,5,P0070,Beauty Item 70,Toys
